"순번","접종일","접종대상자","당일 1차접종자 수","1차접종 누계","1차접종률(%)","당일 2차접종자 수","2차접종 누계","2차접종률(%)","당일 3차접종자 수","3차접종 누계","3차접종률(%)","당일 4차접종자 수","4차접종 누계","4차접종률(%)","당일 동절기접종자 수","동절기접종 누계","동절기접종률(%)"
"677","(2023.08.20.~08.26.)","9445165","8","8365380","88.6","12","8290219","87.8","0","","","0","","","111","1249891","13.2"
"676","(2023.08.13.~08.19.)","9445879","7","8366009","88.6","8","8290843","87.8","0","","","0","","","81","1249756","13.2"
"675","(2023.08.06.~08.12.)","9445879","6","8366744","88.6","9","8291579","87.8","0","","","0","","","76","1249602","13.2"
"674","(2023.07.30.~08.05.)","9446658","18","8367637","88.6","21","8292458","87.8","0","","","0","","","147","1249289","13.2"
"673","(2023.07.23.~07.29.)","9449271","1","8370423","88.6","15","8295203","87.8","0","","","0","","","146","1249766","13.2"
"672","(2023.07.16.~07.22.)","9449671","2","8371046","88.6","7","8295809","87.8","0","","","0","","","110","1249513","13.2"
"671","(2023.07.09.~07.15.)","9449862","19","8371615","88.6","29","8296356","87.8","","","","","","","244","1249390","13.2"
"670","(2023.07.02.~07.08.)","9450189","27","8372308","88.6","17","8297031","87.8","","","","","","","250","1249327","13.2"
"669","(2023.06.25.~07.01.)","9451053","25","8373419","88.6","37","8298134","87.8","","","","","","","381","1249411","13.2"
"668","(2023.06.18.~06.24.)","9452767","26","8375852","88.6","31","8300522","87.8","","","","","","","450","1249516","13.2"
"667","(2023.06.11.~06.17.)","9453125","27","8375852","88.6","30","8300522","87.8","","","","","","","498","1249516","13.2"
"666","(2023.06.04.~06.10.)","9438303","23","8362519","88.6","47","8287327","87.8","","","","","","","482","1248773","13.2"
"665","(2023.06.04.~06.10.)","9438303","23","8362519","88.6","47","8287327","87.8","","","","","","","482","1248773","13.2"
"664","(2023.06.04.~06.10.)","9438303","23","8362519","88.6","47","8287327","87.8","0","6092248","64.6","0","1260217","13.4","482","1248773","13.2"
"663","(2023.05.28.~06.03.)","9439203","57","8363685","88.6","76","8288449","87.8","0","6092248","64.6","0","1260217","13.4","616","1248588","13.2"
"662","2023.06.02","9439485","8","8363973","88.6","12","8288726","87.8","0","6092248","64.6","0","1260217","13.4","111","1248563","13.2"
"661","2023.06.01","9439676","7","8364193","88.6","8","8288940","87.8","0","6092248","64.6","0","1260217","13.4","81","1248493","13.2"
"660","2023.05.30","9441799","18","8366463","88.6","21","8291166","87.8","0","6092248","64.6","0","1260217","13.4","147","1249006","13.2"
"659","2023.05.26","9441910","4","8366606","88.6","9","8291303","87.8","0","6092248","64.6","0","1260217","13.4","129","1248785","13.2"
"658","2023.05.25","9442024","1","8366709","88.6","15","8291399","87.8","0","6092248","64.6","0","1260217","13.4","146","1248659","13.2"
"657","2023.05.24","9442003","2","8366810","88.6","7","8291475","87.8","0","6092248","64.6","0","1260217","13.4","110","1248499","13.2"
"656","2023.05.23","9442009","4","8366909","88.6","4","8291574","87.8","0","6092248","64.6","0","1260217","13.4","92","1248393","13.2"
"655","2023.05.20","9442069","10","8367065","88.6","17","8291724","87.8","0","6092248","64.6","0","1260217","13.4","191","1248327","13.2"
"654","2023.05.19","9442181","5","8367200","88.6","12","8291843","87.8","0","6092248","64.6","0","1260217","13.4","155","1248136","13.2"
"653","2023.05.18","9442210","2","8367269","88.6","7","8291895","87.8","0","6092248","64.6","0","1260217","13.4","130","1247987","13.2"
"652","2023.05.17","9442251","7","8367393","88.6","14","8292008","87.8","0","6092248","64.6","0","1260217","13.4","105","1247861","13.2"
"651","2023.05.16","9442291","5","8367474","88.6","4","8292081","87.8","0","6092248","64.6","0","1260217","13.4","115","1247770","13.2"
"650","2023.05.15","9442383","6","8367675","88.6","22","8292285","87.8","0","6092248","64.6","0","1260217","13.4","208","1247683","13.2"
"649","2023.05.12","9442547","8","8367868","88.6","20","8292445","87.8","0","6092248","64.6","0","1260217","13.4","121","1247484","13.2"
"648","2023.05.11","9442707","7","8368044","88.6","9","8292603","87.8","0","6092248","64.6","0","1260217","13.4","132","1247392","13.2"
"647","2023.05.10","9442822","10","8368230","88.6","22","8292785","87.8","0","6092248","64.6","0","1260217","13.4","118","1247280","13.2"
"646","2023.05.09","9442961","5","8368411","88.6","16","8292947","87.8","0","6092248","64.6","0","1260217","13.4","111","1247197","13.2"
"645","2023.05.08","9443063","4","8368638","88.6","10","8293151","87.8","0","6092248","64.6","0","1260217","13.4","163","1247107","13.2"
"644","2023.05.07","9442996","24","8368556","88.6","41","8293062","87.8","0","6092248","64.6","0","1260217","13.4","298","1246933","13.2"
"643","2023.05.03","9443450","2","8369072","88.6","12","8293549","87.8","0","6092248","64.6","0","1260217","13.4","189","1246723","13.2"
"642","2023.05.02","9443676","8","8369331","88.6","19","8293787","87.8","0","6092248","64.6","0","1260217","13.4","188","1246551","13.2"
"641","2023.05.01","9443847","11","8369621","88.6","19","8294056","87.8","0","6092248","64.6","0","1260217","13.4","180","1246450","13.2"
"640","2023.04.30","9445501","41","8371261","88.6","74","8295662","87.8","0","6092248","64.6","0","1260217","13.4","719","1246794","13.2"
"639","2023.04.27","9445916","10","8371643","88.6","19","8296011","87.8","0","6092248","64.6","0","1260217","13.4","473","1246082","13.2"
"638","2023.04.26","9445979","17","8371744","88.6","15","8296093","87.8","0","6092248","64.6","0","1260217","13.4","399","1245548","13.2"
"637","2023.04.25","9446064","6","8371822","88.6","18","8296168","87.8","0","6092248","64.6","0","1260217","13.4","349","1245055","13.2"
"636","2023.04.24","9446130","17","8371965","88.6","20","8296297","87.8","0","6092248","64.6","0","1260217","13.4","454","1244624","13.2"
"635","2023.04.23","9446091","44","8371927","88.6","61","8296255","87.8","0","6092248","64.6","0","1260217","13.4","1199","6097444","13.2"
"634","2023.04.20","9446427","17","8372240","88.6","32","8296539","87.8","0","6092248","64.6","0","1260217","13.4","492","1242943","13.2"
"633","2023.04.19","9446773","22","8372336","88.6","37","8296638","87.8","0","6092248","64.6","0","1260217","13.4","435","1242382","13.1"
"632","2023.04.18","9447309","8","8372433","88.6","33","8296681","87.8","0","6092248","64.6","0","1260217","13.4","538","1241874","13.1"
"631","2023.04.17","9447367","10","8372603","88.6","12","8296816","87.8","0","6092248","64.6","0","1260217","13.4","613","1241254","13.1"
"630","2023.04.16","9447352","36","8372576","88.6","66","8296787","87.8","0","6092248","64.6","0","1260217","13.4","1614","1240620","13.1"
"629","2023.04.13","9447623","13","8372852","88.6","28","8297036","87.8","0","6092248","64.6","0","1260217","13.4","696","1238969","13.1"
"628","2023.04.12","9447777","20","8372994","88.6","26","8297158","87.8","0","6092248","64.6","0","1260217","13.4","650","1238159","13.1"
"627","2023.04.11","9435472","5","8362329","88.6","20","8286596","87.8","0","6092248","64.6","0","1260217","13.4","579","1237105","13.1"
"626","2023.04.10","9435587","13","8362534","88.6","22","8286778","87.8","0","6092248","64.6","0","1260217","13.4","810","1236393","13.1"
"625","2023.04.09","9435524","40","8362467","88.6","49","8286702","87.8","0","6092248","64.6","0","1260217","13.4","2427","1235561","13.1"
"624","2023.04.06","9428215","15","8355995","88.6","19","8280275","87.8","0","6088394","64.6","0","1260236","13.4","967","1232868","13.1"
"623","2023.04.05","9428421","19","8356201","88.6","32","8280478","87.8","0","6088551","64.6","0","1260319","13.4","754","1231797","13.1"
"622","2023.04.04","9428622","13","8356429","88.6","15","8280683","87.8","0","6088774","64.6","0","1260421","13.4","826","1230904","13.1"
"621","2023.04.03","9419093","6","8348045","88.6","10","8272402","87.8","0","6084099","64.6","0","1260412","13.4","996","1229690","13.1"
"620","2023.04.02","9419018","0","8347960","88.6","1","8272314","87.8","0","6084035","64.6","0","1260409","13.4","2321","1228669","13.0"
"619","2023.03.30","9421221","22","8350191","88.6","29","8274492","87.8","0","6085957","64.6","0","1261321","13.4","1040","1226694","13.0"
"618","2023.03.29","9421375","25","8350310","88.6","21","8274597","87.8","0","6086090","64.6","0","1261370","13.4","810","1225448","13.0"
"617","2023.03.28","9421440","17","8350373","88.6","32","8274657","87.8","0","6086147","64.6","0","1261395","13.4","888","1224306","13.0"
"616","2023.03.28","9421530","15","8350543","88.6","25","8274810","87.8","0","6086301","64.6","0","1261455","13.4","1091","1223180","13.0"
"615","2023.03.27","9421471","2","8350478","88.6","0","8274738","87.8","0","6086249","64.6","0","1261436","13.4","2575","1222049","13.0"
"614","2023.03.23","9421658","19","8350700","88.6","18","8274929","87.8","0","6086446","64.6","0","1261523","13.4","1017","1219230","12.9"
"613","2023.03.22","9421680","16","8350748","88.6","13","8274976","87.8","0","6086515","64.6","0","1261549","13.4","907","1217950","12.9"
"612","2023.03.21","9421862","20","8350817","88.6","18","8275041","87.8","0","6086577","64.6","0","1261565","13.4","991","1216818","12.9"
"611","2023.03.20","9421881","19","8350883","88.6","27","8275113","87.8","0","6086679","64.6","0","1261635","13.4","1158","1215634","12.9"
"610","2023.03.19","9421825","0","8350811","88.6","0","8275032","87.8","0","6086622","64.6","0","1261624","13.4","2611","1214449","12.9"
"609","2023.03.16","9422027","12","8351063","88.6","24","8275235","87.8","0","6086834","64.6","0","1261728","13.4","1194","1211708","12.9"
"608","2023.03.15","9422063","27","8351150","88.6","26","8275306","87.8","0","6086912","64.6","0","1261771","13.4","922","1210322","12.8"
"607","2023.03.14","9422151","25","8351237","88.6","11","8275390","87.8","0","6087012","64.6","0","1261837","13.4","1068","1209166","12.8"
"606","2023.03.13","9422228","12","8351411","88.6","17","8275572","87.8","0","6087173","64.6","0","1261910","13.4","1211","1207786","12.8"
"605","2023.03.12","9422165","1","8351340","88.6","0","8275495","87.8","0","6087119","64.6","0","1261894","13.4","2933","1206517","12.8"
"604","2023.03.09","9422470","21","8351615","88.6","25","8275747","87.8","0","6087412","64.6","0","1262032","13.4","1111","1203352","12.8"
"603","2023.03.08","9422598","26","8351788","88.6","31","8275909","87.8","0","6087567","64.6","0","1262085","13.4","1063","1202009","12.8"
"602","2023.03.07","9422791","35","8351991","88.6","32","8276095","87.8","0","6087754","64.6","0","1262166","13.4","1312","1200744","12.7"
"601","2023.03.06","9422998","21","8352227","88.6","22","8276335","87.8","0","6087993","64.6","0","1262284","13.4","1412","1199094","12.7"
"600","2023.03.05","9422934","0","8352140","88.6","0","8276246","87.8","0","6087930","64.6","0","1262269","13.4","3316","1197634","12.7"
"599","2023.03.02","9423543","33","8352752","88.6","54","8276795","87.8","0","6088480","64.6","0","1262508","13.4","1914","1194121","12.7"
"598","2023.03.01","9423460","2","8352625","88.6","2","8276645","87.8","0","6088403","64.6","0","1262486","13.4","2320","1192167","12.7"
"597","2023.02.27","9425472","78","8354599","88.6","77","8278587","87.8","0","6090149","64.6","0","1263327","13.4","1992","1189819","12.6"
"596","2023.02.26","9425367","0","8354445","88.6","0","8278429","87.8","0","6090080","64.6","0","1263311","13.4","3833","1187793","12.6"
"595","2023.02.23","9415255","105","8345564","88.6","97","8269618","87.8","0","6085106","64.6","0","1263269","13.4","1734","1183166","12.6"
"594","2023.02.22","9415283","74","8345496","88.6","60","8269554","87.8","0","6085129","64.6","0","1263280","13.4","1559","1181006","12.5"
"593","2023.02.21","9406623","42","8337806","88.6","30","8261989","87.8","0","6080729","64.6","0","1263198","13.4","1894","1179052","12.5"
"592","2023.02.20","9398799","22","8330908","88.6","41","8255205","87.8","0","6076954","64.7","0","1263177","13.4","2094","1176690","12.5"
"591","2023.02.19","9398755","0","8330826","88.6","0","8255105","87.8","0","6076912","64.7","0","1263161","13.4","73","1174516","12.5"
"590","2023.02.16","9388633","21","8321892","88.6","35","8246274","87.8","0","6071931","64.7","0","1263117","13.5","1927","1169367","12.5"
"589","2023.02.15","9380787","71","8315100","88.6","81","8239533","87.8","0","6068105","64.7","0","1263075","13.5","1727","1166833","12.4"
"588","2023.02.14","9374839","23","8309638","88.6","24","8234125","87.8","0","6065128","64.7","0","1263068","13.5","1789","1164413","12.4"
"587","2023.02.14","9367819","34","8303603","88.6","26","8228156","87.8","0","6061675","64.7","0","1263020","13.5","2551","1162110","12.4"
"586","2023.02.12","9367754","82","8303494","88.6","39","8228055","87.8","0","6061621","64.7","0","1263014","13.5","5474","1159492","12.4"
"585","2023.02.09","9361072","25","8297594","88.6","44","8222220","87.8","0","6058459","64.7","0","1263016","13.5","2874","1154018","12.3"
"584","2023.02.08","9361159","37","8297671","88.6","46","8222275","87.8","0","6058523","64.7","0","1263071","13.5","2559","1151088","12.3"
"583","2023.02.07","9361241","32","8297811","88.6","34","8222400","87.8","0","6058686","64.7","0","1263138","13.5","3083","1148457","12.3"
"582","2023.02.06","9361445","24","8298041","88.6","50","8222617","87.8","0","6058912","64.7","0","1263261","13.5","3400","1145287","12.2"
"581","2023.02.05","9361360","68","8297930","88.6","59","8222482","87.8","0","6058835","64.7","0","1263239","13.5","6913","1141816","12.2"
"580","2023.02.02","9361563","34","8298222","88.6","45","8222732","87.8","0","6059234","64.7","0","1263451","13.5","3433","1134903","12.1"
"579","2023.02.01","9361996","46","8298457","88.6","49","8222947","87.8","0","6059447","64.7","0","1263552","13.5","3207","1131390","12.1"
"578","2023.01.31","9361957","53","8298567","88.6","64","8223032","87.8","0","6060138","64.7","0","1264409","13.5","3918","1128423","12.1"
"577","2023.01.30","9361986","48","8298636","88.6","61","8223090","87.8","0","6060270","64.7","0","1264464","13.5","4535","1124386","12.0"
"576","2023.01.29","9361926","102","8298509","88.6","81","8222950","87.8","0","6060183","64.7","0","1264452","13.5","9127","1119817","12.0"
"575","2023.01.26","9361946","48","8298498","88.6","61","8222870","87.8","0","6060291","64.7","0","1264525","13.5","4177","1110690","11.9"
"574","2023.01.25","9361816","42","8298508","88.6","64","8222855","87.8","0","6060390","64.7","0","1264587","13.5","4635","1106346","11.8"
"573","2023.01.24","9361808","66","8298423","88.6","38","8222746","87.8","0","6060363","64.7","0","1264566","13.5","9321","1101623","11.8"
"572","2023.01.19","9361875","61","8298457","88.6","46","8222762","87.8","0","6060534","64.7","0","1264664","13.5","5830","1092302","11.7"
"571","2023.01.18","9361993","53","8298432","88.6","59","8222755","87.8","0","6060580","64.7","0","1264698","13.5","5370","1086305","11.6"
"570","2023.01.17","9362130","33","8298475","88.6","58","8222793","87.8","0","6060691","64.7","0","1264769","13.5","6222","1080751","11.5"
"569","2023.01.16","9362206","61","8298497","88.6","62","8222786","87.8","0","6060795","64.7","0","1264826","13.5","6594","1074264","11.5"
"568","2023.01.15","9362119","90","8298312","88.6","62","8222603","87.8","0","6060716","64.7","0","1264814","13.5","14610","1067583","11.4"
"567","2023.01.12","9362334","64","8298434","88.6","48","8222688","87.8","0","6060907","64.7","0","1264956","13.5","7733","1052973","11.2"
"566","2023.01.11","9362652","51","8298423","88.6","43","8222693","87.8","0","6061004","64.7","0","1265036","13.5","7148","1045057","11.2"
"565","2023.01.10","9362652","64","8298536","88.6","48","8222811","87.8","0","6061181","64.7","0","1265097","13.5","8717","1037709","11.1"
"564","2023.01.09","9362699","63","8298599","88.6","71","8222878","87.8","0","6061284","64.7","0","1265161","13.5","9383","1028892","11.0"
"563","2023.01.08","9362613","110","8298386","88.6","66","8222654","87.8","0","6061163","64.7","0","1265151","13.5","21857","1019445","10.9"
"562","2023.01.05","9363044","55","8298567","88.6","43","8222782","87.8","0","6061431","64.7","0","1265344","13.5","10914","997588","10.7"
"561","2023.01.04","9364089","45","8298657","88.6","55","8222882","87.8","0","6061592","64.7","0","1265440","13.5","10072","986392","10.5"
"560","2023.01.03","9364089","44","8298787","88.6","58","8222995","87.8","0","6061773","64.7","0","1265535","13.5","10832","976068","10.4"
"559","2023.01.02","9401888","29","8298886","88.3","49","8223069","87.5","0","6061940","64.5","0","1265662","13.5","9590","965061","10.3"
"558","2023.01.01","9401888","112","8338216","88.7","48","8260895","87.9","0","6091157","64.8","0","1273353","13.5","22480","955715","10.2"
"557","2022.12.29","9401888","43","8335489","88.7","48","8258197","87.8","0","6089807","64.8","0","1273516","13.5","11307","933235","9.9"
"556","2022.12.28","9401888","51","8335478","88.7","72","8258180","87.8","0","6089877","64.8","0","1273539","13.5","11332","921635","9.8"
"555","2022.12.27","9401888","57","8335415","88.7","50","8258094","87.8","0","6089892","64.8","0","1273543","13.5","13225","909906","9.7"
"554","2022.12.26","9401888","53","8335372","88.7","45","8258058","87.8","0","6089929","64.8","0","1273561","13.5","13610","896278","9.5"
"553","2022.12.25","9401888","46","8335181","88.7","47","8257874","87.8","0","6089814","64.8","0","1273538","13.5","22222","882569","9.4"
"552","2022.12.22","9401888","53","8335266","88.7","48","8257910","87.8","0","6089971","64.8","0","1273617","13.5","12281","860347","9.2"
"551","2022.12.21","9401888","37","8335263","88.7","41","8257907","87.8","0","6090040","64.8","0","1273633","13.5","11555","846881","9.0"
"550","2022.12.20","9401888","55","8335242","88.7","44","8257879","87.8","0","6090095","64.8","0","1273704","13.5","15179","833752","8.9"
"549","2022.12.19","9401888","55","8335204","88.7","47","8257842","87.8","0","6090145","64.8","0","1273758","13.5","13761","817569","8.7"
"548","2022.12.18","9401888","88","8335001","88.7","55","8257643","87.8","110","6090016","64.8","11","1273741","13.5","26347","803585","8.5"
"547","2022.12.15","9401888","35","8335095","88.7","59","8257706","87.8","216","6089869","64.8","32","1273743","13.5","12912","777238","8.3"
"546","2022.12.14","9401888","51","8335125","88.7","46","8257712","87.8","213","6089666","64.8","29","1273730","13.5","11897","763431","8.1"
"545","2022.12.13","9401888","64","8335116","88.7","46","8257713","87.8","210","6089514","64.8","52","1273729","13.5","15115","750084","8.0"
"544","2022.12.12","9401888","59","8335048","88.7","68","8257652","87.8","292","6089279","64.8","57","1273710","13.5","16253","733630","7.8"
"543","2022.12.11","9401888","102","8334849","88.7","55","8257453","87.8","456","6088877","64.8","29","1273637","13.5","32324","717162","7.6"
"542","2022.12.08","9401888","42","8334938","88.7","45","8257521","87.8","316","6088421","64.8","65","1273608","13.5","14944","684838","7.3"
"541","2022.12.07","9401888","44","8334879","88.7","46","8257450","87.8","260","6088082","64.8","83","1273528","13.5","15002","668559","7.1"
"540","2022.12.06","9401888","54","8334900","88.7","30","8257473","87.8","255","6087855","64.8","81","1273481","13.5","16571","651908","6.9"
"539","2022.12.05","9401888","41","8334978","88.7","64","8257575","87.8","426","6087708","64.7","94","1273452","13.5","16536","634074","6.7"
"538","2022.12.04","9401888","120","8334773","88.6","66","8257344","87.8","761","6087147","64.7","187","1273357","13.5","34786","617145","6.6"
"537","2022.12.01","9401888","43","8334830","88.7","45","8257403","87.8","342","6086386","64.7","134","1273170","13.5","16364","582359","6.2"
"536","2022.11.30","9401888","58","8334892","88.7","47","8257455","87.8","358","6086119","64.7","146","1273077","13.5","16072","564953","6.0"
"535","2022.11.29","9401888","50","8335020","88.7","34","8257595","87.8","448","6085929","64.7","180","1272989","13.5","16072","564953","6.0"
"534","2022.11.28","9401888","57","8334981","88.7","48","8257576","87.8","616","6085453","64.7","193","1272837","13.5","20261","527277","5.6"
"533","2022.11.27","9401888","124","8334722","88.7","59","8257328","87.8","980","6084658","64.7","485","1272591","13.5","42818","506818","5.4"
"532","2022.11.24","9401888","56","8334824","88.7","43","8257426","87.8","466","6083678","64.7","267","1272106","13.5","19871","464000","4.9"
"531","2022.11.23","9401888","48","8334935","88.7","54","8257555","87.8","449","6083357","64.7","264","1271882","13.5","18145","443690","4.7"
"530","2022.11.22","9401888","38","8335020","88.7","44","8257633","87.8","451","6082992","64.7","257","1271662","13.5","20909","425175","4.5"
"529","2022.11.21","9401888","59","8335052","88.7","50","8257644","87.8","582","6082542","64.7","314","1271389","13.5","19260","403937","4.3"
"528","2022.11.20","9401888","110","8334863","88.7","70","8257458","87.8","1072","6081856","64.7","731","1271046","13.5","40293","384527","4.1"
"527","2022.11.17","9401888","50","8335067","88.7","62","8257648","87.8","555","6080784","64.7","325","1270315","13.5","17070","344234","3.7"
"526","2022.11.16","9401888","43","8335167","88.7","50","8257727","87.8","402","6080318","64.7","348","1269984","13.5","17443","326909","3.5"
"525","2022.11.15","9401888","30","8335112","88.7","41","8257665","87.8","429","6079848","64.7","304","1269648","13.5","18112","309029","3.3"
"524","2022.11.14","9401888","47","8335209","88.7","37","8257750","87.8","630","6079526","64.7","373","1269401","13.5","19859","290640","3.1"
"523","2022.11.13","9401888","110","8335030","88.7","71","8257581","87.8","1028","6078763","64.7","838","1268991","13.5","21181","270673","2.9"
"522","2022.11.10","9401888","34","8335233","88.7","37","8257746","87.8","476","6077735","64.6","349","1268153","13.5","8090","249492","2.7"
"521","2022.11.09","9401888","31","8335199","88.7","58","8257713","87.8","454","6077230","64.6","338","1267822","13.5","7851","241203","2.6"
"520","2022.11.08","9401888","28","8335326","88.7","43","8257811","87.8","482","6076911","64.6","369","1267486","13.5","9103","233305","2.5"
"519","2022.11.07","9401888","43","8335466","88.7","50","8257937","87.8","655","6076577","64.6","389","1267170","13.5","10389","224057","2.4"
"518","2022.11.06","9401888","96","8335290","88.7","75","8257755","87.8","1022","6075805","64.6","1077","1266726","13.5","14885","213640","2.3"
"517","2022.11.03","9401888","36","8335752","88.7","49","8258153","87.8","597","6074783","64.6","559","1265649","13.5","6025","198755","2.1"
"516","2022.11.02","9401888","40","8335936","88.7","28","8258320","87.8","532","6074341","64.6","465","1265131","13.5","6509","192653","2.0"
"515","2022.11.01","9401888","25","8336104","88.7","40","8258490","87.8","559","6073894","64.6","454","1264679","13.5","7010","186024","2.0"
"514","2022.10.31","9401888","42","8336905","88.7","29","8259258","87.8","790","6073912","64.6","522","1264347","13.4","7694","178930","1.9"
"513","2022.10.30","9401888","138","8336734","88.7","83","8259098","87.8","1238","6073026","64.6","1502","1263792","13.4","22683","171182","1.8"
"512","2022.10.27","9401888","31","8336997","88.7","54","8259306","87.8","570","6071788","64.6","681","1262290","13.4","8723","148499","1.6"
"511","2022.10.26","9401888","39","8336876","88.7","47","8259148","87.8","567","6071054","64.6","645","1261598","13.4","8852","139635","1.5"
"510","2022.10.25","9401888","29","8337222","88.7","37","8259483","87.8","570","6070821","64.6","681","1260984","13.4","9301","130664","1.4"
"509","2022.10.24","9401888","49","8337616","88.7","55","8259854","87.9","812","6070594","64.6","692","1260364","13.4","","",""
"508","2022.10.24","9401888","49","8337616","88.7","55","8259854","87.9","812","6070594","64.6","692","1260364","13.4","","",""
"507","2022.10.23","9401888","32","8338515","88.7","47","8260664","87.9","552","6069099","64.6","683","1258152","13.4","","",""
"506","2022.10.20","9401888","32","8338515","88.7","47","8260664","87.9","552","6069099","64.6","683","1258152","13.4","","",""
"505","2022.10.19","9401888","39","8338846","88.7","51","8260980","87.9","486","6068784","64.5","634","1257464","13.4","","",""
"504","2022.10.18","9401888","45","8339139","88.7","43","8261246","87.9","559","6068525","64.5","670","1256912","13.4","","",""
"503","2022.10.17","9401888","36","8339301","88.7","64","8261411","87.9","573","6068104","64.5","600","1256305","13.4","","",""
"502","2022.10.16","9401888","60","8339705","88.7","103","8261777","87.9","925","6067840","64.5","1488","1255713","13.4","","",""
"501","2022.10.13","9401888","31","8339977","88.7","67","8261946","87.9","540","6066915","64.5","639","1254225","13.3","","",""
"500","2022.10.12","9401888","29","8340098","88.7","46","8262024","87.9","446","6066470","64.5","543","1253601","13.3","","",""
"499","2022.10.11","9401888","25","8340612","88.7","59","8262506","87.9","488","6066423","64.5","568","1253111","13.3","","",""
"498","2022.10.10","9401888","64","8340201","88.7","103","8262054","87.9","689","6065512","64.5","1973","1252410","13.3","","",""
"497","2022.10.06","9401888","31","8340995","88.7","72","8262726","87.9","426","6064823","64.5","821","1250437","13.3","","",""
"496","2022.10.05","9401888","35","8341102","88.7","67","8262788","87.9","450","6064480","64.5","774","1249608","13.3","","",""
"495","2022.10.04","9401888","31","8341073","88.7","69","8262728","87.9","456","6064064","64.5","756","1248848","13.3","","",""
"494","2022.10.03","9401888","55","8340786","88.7","119","8262405","87.9","846","6063366","64.5","2485","1247986","13.3","","",""
"493","2022.09.29","9401888","38","8340904","88.7","61","8262400","87.9","364","6062520","64.5","1066","1245501","13.2","","",""
"492","2022.09.28","9401888","41","8340808","88.7","67","8262283","87.9","327","6062108","64.5","1018","1244431","13.2","","",""
"491","2022.09.27","9401888","46","8340707","88.7","54","8262153","87.9","344","6061704","64.5","1066","1243380","13.2","","",""
"490","2022.09.26","9401888","34","8340670","88.7","61","8262106","87.9","480","6061418","64.5","1264","1242381","13.2","","",""
"489","2022.09.25","9401888","59","8340478","88.7","94","8261882","87.9","702","6060778","64.5","3294","1241076","13.2","","",""
"488","2022.09.22","9401888","31","8340629","88.7","71","8261924","87.9","340","6060076","64.5","1381","1237782","13.2","","",""
"487","2022.09.21","9401888","46","8340619","88.7","63","8261820","87.9","313","6059425","64.5","1438","1234961","13.2","","",""
"486","2022.09.20","9401888","48","8340594","88.7","63","8261820","87.9","361","6059425","64.4","1656","1234961","13.1","","",""
"485","2022.09.19","9401888","47","8340594","88.7","80","8261803","87.9","424","6059101","64.4","1894","1233277","13.1","","",""
"484","2022.09.18","9401888","70","8340437","88.7","185","8261615","87.9","884","6058568","64.4","5292","1231362","13.1","","",""
"483","2022.09.15","9401888","48","8340502","88.7","89","8261480","87.9","473","6057684","64.4","1950","1226070","13.0","","",""
"482","2022.09.14","9401888","60","8340483","88.7","93","8261426","87.9","412","6057235","64.4","1961","1224104","13.0","","",""
"481","2022.09.13","9401888","52","8340440","88.7","95","8261347","87.9","440","6056831","64.4","1699","1222141","13.0","","",""
"480","2022.09.12","9401888","18","8340297","88.7","17","8261157","87.9","96","6056311","64.4","266","1220415","13.0","","",""
"479","2022.09.07","9401888","65","8340294","88.7","82","8261145","87.9","486","6055570","64.4","2184","1217684","13.0","","",""
"478","2022.09.06","9401888","52","8340281","88.7","48","8261117","87.9","412","6055101","64.4","2201","1215470","12.9","","",""
